label,totalMemoryUsage,totalSwapUsage,totalDiskUsage,nodes,aliveNodes,avgMemoryUsage,avgDiskUsage
0,2459808,0,340,5,5,491961,68
5000000,3619072,0,3056128,5,5,723814,611225
10000000,3825592,0,5900788,5,5,765118,1180157
15000000,3936592,0,6739372,5,5,787318,1347874
20000000,4088880,0,9820552,5,5,817776,1964110
25000000,4300672,0,13341240,5,5,860134,2668248
30000000,4492080,0,16058800,5,5,898416,3211760
35000000,4549384,0,14305808,5,5,909876,2861161
40000000,4710368,0,17176688,5,5,942073,3435337
45000000,4762768,0,17475608,5,5,952553,3495121
50000000,4904252,0,20897528,5,5,980850,4179505
55000000,4982164,0,21001708,5,5,996432,4200341
60000000,5298372,0,28732612,5,5,1059674,5746522
65000000,5406132,0,25327700,5,5,1081226,5065540
70000000,5672248,0,29830988,5,5,1134449,5966197
75000000,5814488,0,31119868,5,5,1162897,6223973
80000000,6340764,0,36460360,5,5,1268152,7292072
85000000,7372416,0,30774780,5,5,1474483,6154956
90000000,7752388,0,33151220,5,5,1550477,6630244
95000000,7846544,0,34548092,5,5,1569308,6909618
100000000,7997796,0,37761388,5,5,1599559,7552277
105000000,8501500,0,39409200,5,5,1700300,7881840
110000000,9771348,0,41566716,5,5,1954269,8313343
115000000,10202240,0,44153316,5,5,2040448,8830663
120000000,10228508,0,43721304,5,5,2045701,8744260
125000000,10293792,0,45534716,5,5,2058758,9106943
130000000,10453092,0,49550228,5,5,2090618,9910045
135000000,10503756,0,48913860,5,5,2100751,9782772
140000000,10602220,0,51036492,5,5,2120444,10207298
145000000,10766712,0,55748188,5,5,2153342,11149637
150000000,11256548,0,68555100,5,5,2251309,13711020
155000000,11101056,0,60618572,5,5,2220211,12123714
160000000,11011068,0,56417456,5,5,2202213,11283491
165000000,11075464,0,58100156,5,5,2215092,11620031
170000000,11188832,0,59640136,5,5,2237766,11928027
175000000,11292508,0,63718512,5,5,2258501,12743702
180000000,11485984,0,66748796,5,5,2297196,13349759
185000000,11567284,0,66229268,5,5,2313456,13245853
190000000,11620344,0,68260540,5,5,2324068,13652108
195000000,11689480,0,69790240,5,5,2337896,13958048
200000000,11796504,0,71883796,5,5,2359300,14376759
205000000,11904784,0,73106272,5,5,2380956,14621254
210000000,12058600,0,77425868,5,5,2411720,15485173
215000000,12179196,0,76649408,5,5,2435839,15329881
220000000,12325164,0,82000848,5,5,2465032,16400169
225000000,12699200,0,93154584,5,5,2539840,18630916
230000000,12435324,0,81020376,5,5,2487064,16204075
235000000,12507292,0,83176392,5,5,2501458,16635278
240000000,12565232,0,84652276,5,5,2513046,16930455
245000000,12715928,0,88115448,5,5,2543185,17623089
250000000,12804740,0,88650480,5,5,2560948,17730096
255000000,12944672,0,92421840,5,5,2588934,18484368
260000000,13072940,0,93992764,5,5,2614588,18798552
265000000,13160356,0,95812164,5,5,2632071,19162432
270000000,13210616,0,95753648,5,5,2642123,19150729
275000000,13321850,0,98143872,5,5,2664370,19628774
280000000,13433088,0,99243720,5,5,2686617,19848744
285000000,13505456,0,101548484,5,5,2701091,20309696
290000000,13707072,0,105578452,5,5,2741414,21115690
295000000,13954440,0,112943336,5,5,2790888,22588667
300000000,14049896,0,113183460,5,5,2809979,22636692
